# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.10719220e+00
# Aref          : 5.38705787e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
225             	1.36485018e-02	1.54213509e-06	-1.39219309e-06	1.96185210e-09	-5.22234612e-07	1.51253380e-07	6.82425288e-03	6.82424895e-03	9.22320925e-07	6.19814164e-07	-1.21833115e-06	-1.73861931e-07
226             	1.36459405e-02	1.54966431e-06	-1.38019665e-06	1.96224622e-09	-5.26456520e-07	1.55472566e-07	6.82297219e-03	6.82296826e-03	9.30304722e-07	6.19359590e-07	-1.21655485e-06	-1.63641806e-07
227             	1.36434207e-02	1.55735515e-06	-1.36924218e-06	1.96249414e-09	-5.30174357e-07	1.59946830e-07	6.82171229e-03	6.82170836e-03	9.38624404e-07	6.18730744e-07	-1.21479545e-06	-1.54446731e-07
228             	1.36409431e-02	1.56633808e-06	-1.35752585e-06	1.96279167e-09	-5.34175735e-07	1.64870545e-07	6.82047352e-03	6.82046959e-03	9.48039583e-07	6.18298494e-07	-1.21293866e-06	-1.44587191e-07
229             	1.36385084e-02	1.57551611e-06	-1.34365574e-06	1.96295548e-09	-5.38849593e-07	1.70027124e-07	6.81925618e-03	6.81925226e-03	9.57785179e-07	6.17730930e-07	-1.21067746e-06	-1.32978278e-07
230             	1.36361177e-02	1.58554012e-06	-1.32836282e-06	1.96312496e-09	-5.43822214e-07	1.75465629e-07	6.81806083e-03	6.81805690e-03	9.68235690e-07	6.17304432e-07	-1.20800362e-06	-1.20359194e-07
231             	1.36337721e-02	1.59666066e-06	-1.31423559e-06	1.96324224e-09	-5.48162034e-07	1.81234889e-07	6.81688800e-03	6.81688407e-03	9.79565221e-07	6.17095444e-07	-1.20527983e-06	-1.08955764e-07
232             	1.36314726e-02	1.60760370e-06	-1.30121166e-06	1.96345378e-09	-5.51778804e-07	1.86741745e-07	6.81573828e-03	6.81573435e-03	9.90543597e-07	6.17060106e-07	-1.20238464e-06	-9.88270287e-08
233             	1.36292203e-02	1.61733267e-06	-1.28873198e-06	1.96363995e-09	-5.55039411e-07	1.91784955e-07	6.81461209e-03	6.81460817e-03	1.00045129e-06	6.16881381e-07	-1.19940540e-06	-8.93265810e-08
234             	1.36270149e-02	1.62692393e-06	-1.27557558e-06	1.96390594e-09	-5.58520977e-07	1.96913007e-07	6.81350944e-03	6.81350551e-03	1.01037497e-06	6.16548959e-07	-1.19630877e-06	-7.92668147e-08
