a,b,c,d,n,t,v,D,infeasible
143.58209,910.3719,138.32593,80.7308,4.357686,15.043004,7801.0864,1100.0,1
132.81206,1479.0897,84.01034,56.081516,3.8818207,17.813656,6147.6763,1100.0,1
138.355,1373.4365,128.35384,63.524155,2.7982562,34.68889,7262.8965,2.5860698,0
169.94405,1419.7056,261.1928,151.26799,4.4461675,46.017036,30842.541,7.4998784,0
132.70248,737.14087,158.76152,70.04704,4.7768707,31.902653,5883.6816,1.9819502,0
131.34244,1558.6017,190.29509,126.31498,1.8665903,31.695845,23332.684,5.9840226,0
211.49438,1495.6815,205.10374,83.16189,2.1217153,28.211308,12807.999,1100.0,1
466.11697,210.30711,447.42175,166.5476,2.5762413,30.816948,16819.84,4.6663723,0
229.75832,867.1522,313.94678,112.534966,4.4643087,46.306698,14727.276,4.557825,0
191.9963,1286.3518,113.019135,97.10801,4.3076286,14.810578,13357.139,4.0422254,0
519.50323,669.9941,423.756,175.09697,3.0493922,22.521875,29386.855,6.499368,0
141.84322,1571.2318,234.56195,79.93179,2.204019,23.634975,11729.985,1100.0,1
298.0403,1058.5891,205.28117,171.1977,2.5245109,25.167765,31613.844,7.1730847,0
284.3777,1116.1787,157.56796,109.09418,2.4085941,12.750741,16122.074,4.2091317,0
131.43837,1707.348,114.77443,55.92476,1.8921164,30.056534,6884.2114,1100.0,1
120.80233,1402.7179,320.4061,110.42482,2.3942032,44.34445,17927.002,5.441834,0
151.98878,977.9188,199.46043,84.18541,3.3684158,22.36405,9180.979,1100.0,1
184.02798,928.5697,246.85999,84.67973,3.9364898,49.920994,9784.999,1100.0,1
123.426125,988.2783,82.81359,64.41627,1.202449,31.281721,5589.913,2.0486646,0
271.98477,674.70764,239.2288,97.40435,3.203515,1.4856455,10967.809,2.801814,0
137.40921,1643.6613,84.1632,61.050648,2.4919312,21.689507,7407.921,1100.0,1
272.7337,1208.1616,317.33823,196.97096,1.6068687,16.710531,45279.375,8.754784,0
127.203514,1585.3314,97.855865,74.82371,3.2005203,5.670545,9593.051,1100.0,1
394.8789,517.387,301.61386,162.66438,3.227923,25.82997,20324.188,5.0802445,0
124.72979,1374.7809,163.07402,73.57626,4.4890203,48.87502,8868.037,1100.0,1
263.122,593.8221,403.31415,163.27634,2.2990782,38.942158,20742.846,5.709945,0
443.6462,1283.7145,262.20328,166.45412,1.7959573,16.634773,38165.797,7.6413455,0
208.50745,926.6203,129.37888,71.45123,1.2877724,48.814423,7670.5063,2.4009857,0
214.04102,901.19214,221.62862,116.422966,1.8493217,48.952717,14770.862,4.3317146,0
308.8376,610.2641,207.89894,122.99197,3.2754323,14.796866,13860.733,3.6282852,0
270.61624,446.77698,308.8911,178.68137,2.041701,49.32454,19033.309,6.074117,0
202.65869,970.60065,323.904,184.75044,2.7206538,11.135806,32999.98,7.260033,0
185.89673,1367.5444,155.12932,71.71434,3.4590092,35.7832,9361.892,3.0181813,0
91.57062,1673.7189,184.29337,83.54299,1.1197627,3.1966777,11958.084,1100.0,1
194.29076,1291.8068,455.04993,167.65256,4.8737087,19.818502,36335.37,7.786483,0
333.03903,773.7822,132.36566,115.71814,1.8607897,47.96883,14430.458,3.8654456,0
108.82146,1518.7567,151.43529,105.328606,2.8936152,31.443748,16182.042,4.8032703,0
569.1005,249.7808,218.65451,197.65607,4.8651414,19.414614,20696.658,8.165625,0
212.67123,744.41907,170.68805,76.680984,2.451802,39.399853,7775.9536,1100.0,1
444.65546,1309.7413,194.579,157.85835,2.338576,5.186693,35055.617,7.5274005,0
170.71585,1258.6614,486.10007,165.04012,3.4711134,8.192661,34572.902,7.340809,0
356.09628,645.34375,174.06934,157.5875,4.3958173,47.20076,20232.627,5.6180863,0
325.43524,749.53156,331.8889,125.05303,2.8723092,39.489388,17149.725,4.5648947,0
97.83845,1061.0371,171.37372,60.6751,4.5731535,35.077354,5657.4146,1100.0,1
376.91934,1162.077,285.76248,160.33975,3.958528,34.94253,32621.078,7.1765556,0
450.68777,439.83008,473.67194,172.55637,1.8714918,41.50899,22713.746,6.367094,0
220.03091,778.5427,378.6371,177.46936,3.0591738,34.607117,26916.658,6.6323133,0
371.92908,421.73508,286.89636,143.64015,2.514304,17.660742,15462.462,4.8434463,0
193.05827,921.69257,193.85281,106.43693,4.9318576,30.95926,12722.431,1100.0,1
224.00572,1394.0033,189.10664,80.000595,3.966205,30.072416,11719.157,1100.0,1
407.72638,1180.2928,385.07623,151.46057,4.6194625,29.090014,31640.074,6.972285,0
69.68216,1238.4562,107.701126,65.707375,4.3159833,34.493942,5990.3584,2.484877,0
242.98657,820.47144,227.37465,123.87476,2.5781646,25.391718,15654.346,4.104102,0
143.7561,1035.7369,289.89847,111.81821,3.832341,24.203426,14759.143,4.16349,0
449.54956,673.44214,175.96587,164.05127,1.082036,39.023373,23609.379,5.6276865,0
120.421425,1585.9679,245.29774,96.481766,3.3694773,43.361885,15364.596,1100.0,1
440.13373,943.36487,356.55203,160.35246,3.4001994,33.884876,29906.633,6.7281566,0
254.67432,724.61444,246.04929,134.33514,2.2658467,8.597039,16517.771,4.2072783,0
117.302185,1783.4657,73.67017,68.79619,4.379889,9.256744,8917.61,3.4166708,0
126.93541,1599.5056,132.96472,70.97249,4.838812,43.83125,9168.304,3.2972085,0
255.72186,928.6527,242.66124,167.5701,4.462289,39.263596,27274.014,6.651298,0
518.57904,93.05253,496.18442,197.73601,4.7395606,39.669453,17527.15,6.9147353,0
171.26099,1542.3132,173.23825,117.19215,2.2500982,5.281858,20831.172,5.4578485,0
358.54483,1150.6709,383.42258,149.90837,1.2222768,28.363756,29809.568,6.4235168,0
97.437294,1036.2955,145.16815,60.947422,4.6512995,1.1671567,5430.2046,1100.0,1
303.42688,1191.1532,287.71533,160.18835,4.6783495,40.0946,31937.908,7.3016267,0
98.31134,1099.5114,72.14146,62.399918,4.193234,20.453175,5297.4126,2.1634183,0
428.01123,1153.2084,162.1648,162.12354,3.7085085,24.21928,32712.531,7.6020913,0
438.02905,497.29617,444.47495,157.1069,2.9541736,48.54818,21124.02,7.0195637,0
440.76016,912.3192,301.37698,153.60457,3.0248208,14.982065,27090.65,5.9745903,0
258.9689,727.9018,217.15971,160.43596,2.4555209,14.663807,21178.55,5.4076023,0
79.34359,889.948,126.32826,61.6297,3.578637,3.481154,4672.166,1.8241853,0
120.56503,1124.1213,77.75143,54.105633,1.1596587,26.677988,4836.9614,1100.0,1
356.0376,574.9699,192.44484,153.65796,1.7651328,48.605293,18396.672,5.0061255,0
458.4131,219.9408,535.7018,189.48799,4.851427,29.46175,20144.332,5.8944807,0
341.64496,1140.7024,253.0712,142.79257,2.2295759,34.99196,26180.123,5.9919314,0
248.19681,1427.9814,215.63371,87.46179,3.4017506,49.143166,13925.538,1100.0,1
163.74829,807.16785,108.318504,55.445198,4.875333,7.3270993,5004.5503,1100.0,1
250.42685,1019.6241,222.2543,102.498634,1.5874392,46.58234,13993.323,1100.0,1
297.6038,1043.0991,296.07385,99.2878,2.0121338,41.04211,14892.926,1100.0,1
217.18575,868.34534,94.30505,80.64098,1.9536573,27.048424,8336.161,1100.0,1
402.70468,1213.7682,247.43968,169.3615,3.3493783,49.738785,36788.08,8.275615,0
71.923874,1593.9467,102.90683,50.156864,1.3072579,41.90262,4888.675,1100.0,1
105.350784,1475.543,225.14798,76.693504,4.6666055,29.78158,10026.275,1100.0,1
293.38654,837.0546,334.47784,125.47157,3.2148733,17.48273,17824.732,4.3580346,0
280.9893,858.69763,291.0763,153.21243,4.447489,44.636196,23238.492,6.089685,0
147.23242,830.5405,171.99362,125.91641,4.0549827,22.86403,14159.785,4.203086,0
167.14363,1555.0575,128.7794,60.15135,1.2228842,20.3992,7729.031,1100.0,1
453.35034,193.9755,357.88086,163.96481,4.519865,29.468452,15195.373,4.3401885,0
61.269432,1629.2329,106.79602,53.012085,4.5455184,17.822062,5225.6885,1100.0,1
131.03963,1168.8069,216.33524,82.664696,2.5236726,35.011154,9824.912,1100.0,1
131.35814,1743.2029,100.77558,53.326378,2.500143,9.438688,6475.782,1100.0,1
75.891785,1298.4309,163.75285,55.37233,4.8212695,10.414273,5335.8564,1100.0,1
318.73944,1229.3923,181.36092,162.51965,3.4718983,46.489647,32750.328,7.6223373,0
114.827156,1563.7407,221.9611,77.387184,1.2679908,37.61211,10692.406,1100.0,1
323.22205,746.18286,126.85693,114.15349,4.81451,6.8311634,13709.852,3.8625603,0
186.60204,751.47,357.59207,171.0388,3.0192611,29.133562,24006.846,6.025645,0
314.0916,941.88403,127.47753,117.09558,4.8297777,19.027552,16135.884,4.3872867,0
439.32538,1048.7075,243.36713,194.49417,1.9497818,44.628643,41787.574,8.735821,0
305.54007,354.46924,364.63583,123.55773,2.1837678,36.74914,12075.869,3.4752731,0
126.46668,1417.4901,90.460976,84.57344,4.0322876,48.895157,10568.789,2200.0,1
178.68025,1209.7526,173.52539,60.473984,1.4186814,3.0341387,7234.652,1100.0,1
332.2761,425.4235,275.2071,164.75014,4.344691,30.468798,17351.633,5.791122,0
406.09744,1038.0344,426.06537,197.56566,2.7728357,10.735054,43852.22,8.451666,0
83.74234,950.04,87.1065,68.85382,2.5983145,48.847706,5384.752,2.2159455,0
248.4438,1057.789,238.91507,86.52052,1.5931491,40.279816,11699.618,3.345796,0
454.6031,1093.4875,438.66245,167.06647,3.7321532,15.925575,36056.6,7.374775,0
57.49373,1249.1411,68.82303,56.787838,1.6440051,9.613418,4483.7954,1100.0,1
180.48137,1088.1444,322.62967,160.10823,4.542423,29.392439,28068.482,6.6736684,0
152.27136,871.71344,118.33443,84.80628,3.353192,48.78205,8073.851,1100.0,1
296.89478,584.82025,255.66977,185.41158,1.3340691,3.1977568,23707.504,5.8921485,0
387.456,227.28426,530.0583,181.5657,2.1540675,47.780193,18095.426,7.9170012,0
251.99382,1048.2542,296.35373,139.95586,2.7223709,29.02271,22891.904,5.5078516,0
382.1041,704.5883,187.21101,155.38707,3.4339418,38.202362,21533.156,5.495071,0
235.59842,574.95557,279.5517,174.17363,2.5059717,20.029062,20563.28,5.3528247,0
134.75668,1487.2975,218.27954,92.65321,1.3965442,5.825048,13764.544,4.0484767,0
476.19354,1246.3981,205.8775,166.9541,1.500771,3.2688673,37545.996,7.781551,0
102.67485,1105.3348,136.35915,87.48851,2.008553,31.331543,9227.628,3.120176,0
251.33308,1391.4133,270.03622,189.65434,4.2282033,10.805222,46769.84,9.288204,0
168.24954,1479.5684,180.60406,69.968414,4.962805,27.256508,9441.817,3.0803,0
148.28519,1458.657,116.20776,50.545677,4.592009,21.853113,5818.914,1100.0,1
133.47034,732.1631,200.3737,102.5536,2.31855,31.912666,9655.394,3.0177538,0
193.81415,606.4259,201.37956,124.64478,1.1069216,47.97506,12160.496,3.7229912,0
369.77985,1215.7202,206.48105,180.41731,3.9980617,34.844135,39791.207,8.500867,0
544.0112,402.52133,197.99033,195.83214,4.0237966,1.4654806,24107.408,15.876866,0
136.70029,1591.7997,142.31372,58.548046,4.9126577,18.265766,7245.4663,1100.0,1
371.7667,1112.9493,175.71892,137.66263,3.289008,19.100395,24200.973,5.729628,0
