a,b,c,d,n,t,D
378.54297,787.52295,485.6454,186.5577,3.4618027,16.875456,7.192268
218.60097,1296.3531,466.44077,198.9051,4.593898,17.781343,9.508368
413.18048,462.00327,157.12001,155.01991,4.8174276,43.213795,6.946354
120.07972,1110.4705,150.70871,86.62161,3.921656,1.3884953,3.121362
204.38509,948.7068,253.13387,134.08694,1.0880959,37.578274,4.888055
133.99515,1305.7618,82.7862,63.413464,1.1109371,10.1457205,2.448102
244.55989,1385.1542,196.68105,94.02841,1.4591943,39.13594,4.1213927
131.55092,1098.3303,226.73756,95.954926,1.124492,33.385796,3.5624056
501.17792,481.7438,437.15576,168.31409,1.377452,37.717052,5.8147264
132.40482,819.1946,135.02434,66.71202,1.4743898,37.36265,1.9421896
213.05014,1106.4648,206.90384,145.45631,3.767354,34.697075,5.909209
445.2786,354.98657,448.14493,194.45064,2.574466,47.128326,7.583136
336.52158,840.2871,206.42603,137.73569,3.6551886,43.458794,5.0930443
406.57092,230.9797,470.47174,170.82843,1.1530426,24.473291,4.3490696
340.10196,1148.8591,321.845,145.19232,3.6148696,38.407433,6.4845104
360.38452,1307.2843,252.42397,136.2353,1.0364693,8.775363,5.9044647
200.63448,1242.1887,300.88446,154.45883,4.6387544,38.51866,6.999047
494.15756,44.89646,531.26556,197.01819,3.5367997,45.85648,7.5607553
327.62515,452.72086,524.4289,182.46289,4.7719626,31.086752,6.2200494
341.9169,751.64124,209.60829,119.13478,4.3395624,24.60459,3.9478254
236.32094,1144.4463,177.83826,130.63391,2.736863,10.138063,5.2519774
256.87698,563.85846,194.04672,149.97438,2.5071564,49.17351,4.758247
147.56047,920.3897,106.4583,90.148,1.9363527,4.9862995,2.9404972
300.70886,909.32385,338.73175,130.754,1.9540703,25.225216,4.778486
357.92563,1159.0477,302.09143,121.34431,2.454922,14.197583,4.999377
317.83838,865.2836,326.50626,170.82188,4.618393,19.514915,6.533847
304.5909,909.03613,393.01987,132.95262,1.8046957,32.41002,5.1576185
477.76993,1049.937,305.07373,163.92755,3.6349149,4.401344,6.9932446
263.10873,502.8575,292.02762,139.12381,4.6193566,13.152478,3.8933427
409.69882,1330.5083,196.62013,185.13861,3.7371478,21.957537,9.467669
492.21323,1145.3113,203.9927,188.98352,4.500537,34.37459,9.182908
318.4204,1376.2616,248.44955,159.55544,4.0059557,38.92356,7.740113
295.91342,1062.2208,220.95888,114.48912,3.998061,21.200125,4.41113
121.53729,1275.319,285.76373,115.34677,3.027196,2.0289307,4.715262
195.88788,777.2618,138.4341,95.86452,1.714021,45.680412,2.9354908
275.41235,1366.169,121.41206,105.56583,4.5519953,20.146433,4.7034106
182.7623,1187.7975,176.51369,65.365555,4.7495613,37.456207,2.5600429
350.45413,745.70435,218.64311,121.178154,2.1685917,39.14841,4.03412
103.66998,943.6886,241.29773,95.0025,1.9942452,36.9081,3.3013318
220.74467,1328.9784,210.62357,155.31966,2.220277,29.997276,7.0156054
245.84425,514.0002,355.74136,198.54263,3.0662534,9.373214,6.1539593
150.50237,952.3176,342.7484,145.7926,1.2794814,36.67342,5.6222496
510.74094,208.13031,312.63477,183.32356,2.9715312,16.69999,4.8969684
231.46582,1156.4336,194.93376,122.58129,1.2438685,2.878479,4.7971272
276.36215,567.30914,331.72397,156.50789,1.5887202,7.892424,4.529065
251.20743,1067.7213,171.20982,122.981255,3.0816464,35.492645,4.740559
435.0232,206.89783,402.1295,151.34589,1.820464,1.4406788,3.4511163
95.658356,870.9131,199.3885,70.84264,2.6045105,23.106817,2.166976
474.01562,152.5374,454.1368,178.92145,4.1891046,34.958004,5.2485933
449.25522,1093.0588,396.7702,171.61156,1.117811,40.61881,7.8569865
106.565346,1552.8837,104.522514,65.87776,1.8081063,45.779312,2.9290514
456.89624,513.004,270.59348,174.23068,4.7260838,27.244932,5.773758
259.7505,1325.142,352.6531,118.69239,3.6804621,41.473553,5.806401
254.04915,1135.8453,234.25195,87.96,3.8454466,26.144802,3.436698
170.21489,1331.9349,173.06981,121.44973,2.7189355,38.54285,5.266478
173.89551,1216.5358,188.13618,132.30789,1.8989387,9.852699,5.4341316
301.87906,645.16266,293.7394,125.793594,4.4407024,24.377056,3.9527695
216.25099,1601.9219,84.76834,72.17837,2.029434,47.043137,3.3527682
214.05917,504.2298,298.12057,127.33525,1.5145475,38.40851,3.623343
148.50195,1544.253,257.80652,138.90714,2.7697246,43.853325,6.9386764
401.2521,377.73813,235.17728,143.11435,2.5833416,8.481315,8.278803
382.59927,464.55084,319.90475,137.95564,3.9508884,40.53305,4.424557
193.12634,1170.5677,195.18652,104.81697,1.3006655,21.602295,4.006284
362.7275,1428.3015,206.81479,169.73912,3.4579582,39.599262,8.521028
171.14136,1388.489,336.28098,132.01808,4.3657045,19.596685,6.0241027
109.84647,1513.4636,115.90421,104.796814,4.1700935,44.27134,4.8788276
396.65775,558.1261,259.68924,149.50758,2.0595508,6.749758,4.487684
